chr1	x1	x2	chr2	y1	y2	color	o	e_bl	e_donut	e_h	e_v	fdr_bl	fdr_donut	fdr_h	fdr_v	num_collapsed	centroid1	centroid2	radius
20	13300000	13310000	20	13520000	13530000	"0,255,255"	35	9.91018	10.2191	10.9383	11.8612	0.000345171	0.000349436	0.000592886	0.000531671	1	13305000	13525000	0
20	17520000	17530000	20	17590000	17600000	"0,255,255"	71	33.8425	33.0505	37.1453	35.3807	0.000999216	0.000889973	0.001314428	0.001386839	4	17517500	17595000	10307.76406
20	19180000	19190000	20	19640000	19650000	"0,255,255"	32	7.42802	7.44991	8.90153	7.34412	6.30E-07	1.07E-06	0.000168813	1.82E-06	1	19185000	19645000	0
20	1940000	1950000	20	2150000	2160000	"0,255,255"	69	24.0726	24.0899	23.1472	33.475	1.85E-09	1.20E-09	2.55E-09	0.003643737	1	1945000	2155000	0
20	21215000	21220000	20	21480000	21485000	"0,255,255"	24	4.9755	4.78823	6.53958	5.03118	0.000887401	2.11E-05	0.014281995	0.000774805	1	21217500	21482500	0
20	2190000	2200000	20	2330000	2340000	"0,255,255"	55	26.7758	23.7467	29.3896	27.8179	0.015465373	0.000105367	0.019313291	0.019953659	3	2188333	2331666	7453.559925
20	22315000	22320000	20	22665000	22670000	"0,255,255"	24	8.21063	6.53244	9.61104	6.34999	0.079685402	0.009608014	0.096836352	0.012763791	2	22317500	22665000	2500
20	22320000	22330000	20	22560000	22570000	"0,255,255"	52	21.0888	20.5416	27.1753	23.3907	0.000909964	0.000750817	0.06709145	0.001220917	2	22320000	22565000	5000
20	22710000	22720000	20	23320000	23330000	"0,255,255"	35	11.3907	11.1837	9.77746	14.1532	0.000345171	0.000349436	5.91E-06	0.019134917	1	22715000	23325000	0
20	23030000	23040000	20	23320000	23330000	"0,255,255"	66	28.0941	27.3248	29.643	35.1296	3.86E-05	2.84E-05	4.99E-05	0.013456981	1	23035000	23325000	0
20	2500000	2510000	20	2630000	2640000	"0,255,255"	75	37.2583	32.8329	31.2026	36.4484	0.000122877	0.000103307	0.000161944	0.000176715	1	2505000	2635000	0
20	25270000	25280000	20	25380000	25390000	"0,255,255"	72	33.3391	30.5889	31.5024	34.8292	0.000607668	4.29E-07	0.000795741	0.000846375	3	25278333	25381666	7453.559925
20	2660000	2670000	20	2730000	2740000	"0,255,255"	67	34.1	30.1171	33.9842	28.6271	0.006545293	1.48E-05	0.008430561	2.80E-05	1	2665000	2735000	0
20	2730000	2740000	20	2830000	2840000	"0,255,255"	88	37.8754	33.9144	37.1066	40.2143	3.11E-08	2.26E-08	4.17E-08	0.000200792	2	2735000	2830000	5000
20	30045000	30050000	20	30085000	30090000	"0,255,255"	44	14.6554	16.8402	17.858	21.9265	1.39E-05	0.001055617	0.001642651	0.058076606	2	30047500	30090000	2500
20	30160000	30165000	20	30195000	30200000	"0,255,255"	87	35.7644	32.1769	36.9864	34.1672	4.54E-08	3.98E-08	6.12E-08	6.22E-08	8	30151875	30200000	10915.15575
20	30220000	30230000	20	30310000	30320000	"0,255,255"	109	55.0666	50.3374	46.1299	68.4506	1.91E-05	1.66E-05	6.02E-10	0.040654508	2	30225000	30320000	5000
20	30440000	30450000	20	30530000	30540000	"0,255,255"	130	62.4464	66.6191	72.7129	76.6055	1.67E-05	1.65E-05	2.06E-05	2.11E-05	3	30445000	30545000	10000
20	30740000	30750000	20	31240000	31250000	"0,255,255"	47	18.7953	17.9595	17.6616	24.3601	0.000200425	0.000167924	0.000312568	0.019224815	1	30745000	31245000	0
20	31105000	31110000	20	31235000	31240000	"0,255,255"	65	22.7953	20.6513	24.2877	27.7262	4.44E-08	3.61E-08	7.43E-08	7.42E-05	11	31108863	31242045	12239.01093
20	31265000	31270000	20	31365000	31370000	"0,255,255"	65	24.0126	21.0614	28.6817	22.5094	4.44E-08	3.61E-08	7.92E-05	7.02E-08	3	31265833	31362500	10137.93755
20	31490000	31500000	20	31680000	31690000	"0,255,255"	89	35.4962	33.4779	39.5928	32.8379	1.50E-08	1.07E-08	0.000120437	2.28E-08	1	31495000	31685000	0
20	31680000	31690000	20	31880000	31890000	"0,255,255"	84	38.0808	33.3351	33.8498	39.908	4.94E-07	3.83E-07	6.65E-07	0.00132983	1	31685000	31885000	0
20	32040000	32050000	20	32230000	32240000	"0,255,255"	74	31.1057	30.6429	36.894	37.8759	0.000212064	9.51E-08	0.000278804	0.000298979	4	32052500	32240000	13462.91202
20	32530000	32540000	20	32650000	32660000	"0,255,255"	121	45.7025	51.7821	61.0929	57.7669	3.98E-14	2.26E-08	3.44E-08	3.52E-08	2	32530000	32655000	5000
20	32770000	32780000	20	33110000	33120000	"0,255,255"	48	22.3243	20.6025	23.4853	23.147	0.008646449	0.007840444	0.011257707	0.011558936	2	32770000	33110000	7071.067812
20	32900000	32905000	20	33100000	33105000	"0,255,255"	55	17.5439	19.8336	24.1854	19.7255	2.83E-07	8.19E-05	0.000147797	0.00013799	4	32898750	33107500	8003.905297
20	330000	335000	20	410000	415000	"0,255,255"	50	21.0961	18.5263	24.1842	17.682	0.002031741	1.34E-05	0.003198322	2.56E-05	1	332500	412500	0
20	330000	335000	20	455000	460000	"0,255,255"	38	11.1791	10.5468	14.5887	14.0681	3.31E-05	2.09E-05	0.001934737	0.002153301	2	335000	457500	2500
20	33120000	33130000	20	33290000	33300000	"0,255,255"	93	39.0447	38.9835	43.5431	46.5285	1.14E-05	9.35E-06	1.48E-05	1.45E-05	5	33125000	33295000	10000
20	33460000	33465000	20	33545000	33550000	"0,255,255"	65	26.5322	25.9758	31.6845	26.7751	4.85E-05	5.41E-05	0.016880843	7.42E-05	1	33462500	33547500	0
20	33730000	33735000	20	33850000	33855000	"0,255,255"	36	11.3874	12.0033	13.9966	14.8777	0.000190488	0.000130155	0.007527843	0.008318558	1	33732500	33852500	0
20	33890000	33900000	20	34020000	34030000	"0,255,255"	84	41.8775	35.8901	34.1799	47.974	0.001043966	3.83E-07	6.65E-07	0.00132983	6	33890000	34030000	15811.3883
20	34580000	34585000	20	34720000	34725000	"0,255,255"	58	16.7368	15.7936	20.3409	20.963	2.15E-08	1.25E-08	1.97E-05	1.91E-05	4	34585000	34726250	8385.254916
20	34750000	34755000	20	34785000	34790000	"0,255,255"	70	28.9095	31.5583	32.3844	33.5807	1.77E-06	0.001277212	0.001799816	0.001789469	1	34752500	34787500	0
20	34790000	34795000	20	35065000	35070000	"0,255,255"	48	22.0291	18.2198	20.0905	22.8457	0.005986299	6.23E-05	0.00921692	0.008877933	3	34800833	35067500	11666.66667
20	35240000	35250000	20	35510000	35520000	"0,255,255"	66	26.7748	29.674	30.7435	37.5302	3.86E-05	2.84E-05	4.99E-05	0.013456981	1	35245000	35515000	0
20	35825000	35830000	20	36155000	36160000	"0,255,255"	40	15.7382	13.4966	14.5586	17.3742	0.012959773	0.000269183	0.000454498	0.018227499	5	35829500	36161500	8062.257748
20	35900000	35905000	20	36160000	36165000	"0,255,255"	36	8.07477	9.84082	12.1432	13.511	3.64E-06	1.88E-06	0.000232915	0.008318558	1	35902500	36162500	0
20	35910000	35920000	20	36010000	36020000	"0,255,255"	124	63.0566	61.3487	65.0051	68.7673	0.000208062	3.52E-09	0.000260602	0.000266722	6	35905000	36010000	11180.33989
20	36190000	36200000	20	36520000	36530000	"0,255,255"	67	28.7914	26.5911	35.2902	30.0175	2.03E-05	1.48E-05	0.008430561	2.80E-05	1	36195000	36525000	0
20	36695000	36700000	20	36840000	36845000	"0,255,255"	43	18.8086	18.7135	20.7185	21.4018	0.002358138	0.002032787	0.091978446	0.087794135	3	36689166	36849166	10671.87373
20	36700000	36710000	20	36790000	36800000	"0,255,255"	143	56.8777	63.7406	74.214	78.5189	8.27E-15	2.66E-08	3.26E-08	0.002025127	2	36700000	36795000	5000
20	36970000	36975000	20	37030000	37035000	"0,255,255"	65	30.6828	30.6971	32.6211	35.9393	4.85E-05	5.41E-05	0.016880843	0.016688589	6	36967500	37038333	9166.666667
20	37275000	37280000	20	37355000	37360000	"0,255,255"	100	27.3357	27.9527	40.1369	30.6603	3.59E-18	2.42E-18	1.80E-07	7.42E-18	4	37277500	37362500	15000
20	39595000	39600000	20	39965000	39970000	"0,255,255"	24	8.45798	6.29957	8.1772	5.60039	0.079685402	0.009608014	0.096836352	0.000774805	2	39595000	39967500	2500
20	39610000	39615000	20	39720000	39725000	"0,255,255"	53	19.2644	17.1563	22.757	19.4507	1.49E-06	1.08E-06	0.000540522	2.23E-06	3	39619166	39722500	8333.333333
20	39800000	39805000	20	39965000	39970000	"0,255,255"	65	17.852	19.4278	21.584	25.6925	1.81E-11	8.27E-12	7.43E-08	7.42E-05	2	39802500	39970000	2500
20	39870000	39880000	20	39960000	39970000	"0,255,255"	97	48.4007	46.3184	48.3737	48.3963	1.15E-06	9.18E-07	1.52E-06	1.52E-06	2	39870000	39965000	5000
20	4085000	4090000	20	4140000	4145000	"0,255,255"	47	21.1541	21.2725	24.3026	23.5231	0.00985883	0.010276306	0.015285562	0.014861741	5	4092500	4149500	12206.55562
20	4090000	4100000	20	4560000	4570000	"0,255,255"	33	10.4955	10.4827	13.2802	12.3126	0.002002958	0.001999508	0.06243966	0.003025349	3	4088333	4565000	10540.92553
20	4200000	4210000	20	4560000	4570000	"0,255,255"	58	28.841	22.9145	27.7432	29.7775	0.003712368	1.25E-05	0.004819376	0.004933595	1	4205000	4565000	0
20	42070000	42080000	20	42320000	42330000	"0,255,255"	63	29.1257	24.9355	33.133	26.7999	0.000241389	0.000186407	0.04183393	0.000323865	2	42080000	42315000	11180.33989
