gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM	posterior_mean_count	posterior_standard_deviation_of_count	pme_TPM	pme_FPKM	TPM_ci_lower_bound	TPM_ci_upper_bound	FPKM_ci_lower_bound	FPKM_ci_upper_bound
ENSG00000249139.1	ENST00000504988.1	1156	907.92	0	0	0	0	0	0.01	0.01	1.66E-08	0.0426689	1.67E-08	0.0431361
ENSG00000158901.7	ENST00000289953.2	1168.5	920.42	0	0	0	0	0	0.03	0.03	0.000576507	0.0680848	0.000514262	0.0687535
ENSG00000180205.3	ENST00000326000.1	659	410.95	0	0	0	0	0	0.03	0.03	7.18E-07	0.0958968	7.25E-07	0.096891
ENSG00000101138.7	ENST00000217109.4	2080.77	1832.69	3431	24.73	24.69	3431	0	24.6	24.86	23.5998	25.6273	23.84	25.889
ENSG00000180305.4	ENST00000372643.3	706	457.94	0	0	0	0	0	0.03	0.03	5.50E-07	0.0861634	5.56E-07	0.0870845
ENSG00000180083.6	ENST00000324384.3	628	379.96	0	0	0	0	0	0.07	0.07	0.00222847	0.163623	0.00207939	0.165252
ENSG00000182931.5	"ENST00000330523.5,ENST00000335769.2"	552.5	304.48	0	0	0	0	0	0.09	0.09	0.0018567	0.221503	0.00189377	0.223978
ENSG00000168634.4	ENST00000305479.2	1372	1123.92	0	0	0	0	0	0.01	0.01	7.01E-07	0.0343625	7.09E-07	0.0347353
ENSG00000149651.3	ENST00000279058.3	512	263.99	0	0	0	0	0	0.05	0.05	3.85E-07	0.148968	3.89E-07	0.150575
ENSG00000101365.16	"ENST00000380843.4,ENST00000380851.5,ENST00000462967.1,ENST00000466494.2,ENST00000466999.1,ENST00000474315.1,ENST00000477689.1,ENST00000479376.1,ENST00000488299.1,ENST00000491065.1,ENST00000492240.1"	1390.15	1142.08	14260	164.94	164.67	14260	0	163.05	164.73	159.929	166.196	161.646	167.981
ENSG00000124116.14	"ENST00000243938.4,ENST00000337205.4,ENST00000372630.2,ENST00000372632.2,ENST00000462017.1,ENST00000465935.1,ENST00000467679.1,ENST00000471401.1,ENST00000474942.1,ENST00000481847.1,ENST00000487343.1,ENST00000490877.1,ENST00000493693.1"	696.69	448.65	0	0	0	0	0	0.48	0.49	0.209009	0.786717	0.210859	0.794827
ENSG00000087589.12	"ENST00000360314.3,ENST00000371336.3,ENST00000434344.1,ENST00000497244.1"	2907.15	2659.06	3237	16.08	16.06	3237	0	15.89	16.05	15.2576	16.5082	15.4251	16.6867
ENSG00000226332.2	ENST00000414042.1	681	432.94	0	0	0	0	0	0.03	0.03	2.10E-07	0.0898546	2.12E-07	0.0908217
ENSG00000265329.1	ENST00000577688.1	71	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228812.3	"ENST00000456721.2,ENST00000477848.1,ENST00000478167.1,ENST00000487421.1"	589.25	341.22	0	0	0	0	0	0.16	0.16	0.0295766	0.324067	0.0296677	0.327365
ENSG00000233017.1	ENST00000433121.1	477	229.01	0	0	0	0	0	0.06	0.06	1.94E-07	0.168781	1.96E-07	0.170587
ENSG00000272050.1	ENST00000606283.1	725	476.94	9	0.25	0.25	9	0	0.27	0.28	0.114262	0.440773	0.115574	0.445706
ENSG00000260542.1	ENST00000569373.1	2188	1939.92	0	0	0	0	0	0.01	0.01	5.15E-09	0.0201213	5.21E-09	0.0203388
ENSG00000174403.11	"ENST00000412495.1,ENST00000436101.1,ENST00000475015.1"	1882.67	1634.59	0	0	0	0	0	0.04	0.04	0.00224849	0.0905575	0.00227261	0.0915216
ENSG00000199017.1	ENST00000362147.1	77	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207764.1	ENST00000347538.2	102	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226094.1	ENST00000441388.1	714	465.94	0	0	0	0	0	0.03	0.03	3.28E-09	0.0835716	3.32E-09	0.0845075
ENSG00000264490.2	"ENST00000583223.1,ENST00000593307.1"	1817.5	1569.42	0	0	0	0	0	0.02	0.02	0.000371495	0.0397795	0.000364504	0.040209
ENSG00000232121.1	ENST00000427132.1	499	251	0	0	0	0	0	0.05	0.05	1.54E-06	0.155799	1.56E-06	0.157545
ENSG00000229882.1	ENST00000418953.1	461	213.02	0	0	0	0	0	0.06	0.06	1.40E-06	0.183965	1.42E-06	0.185929
ENSG00000232803.1	"ENST00000411824.1,ENST00000433126.1,ENST00000451648.1"	959.33	711.26	0	0	0	0	0	0.07	0.07	0.00564287	0.147318	0.00549736	0.148697
ENSG00000237687.2	ENST00000435412.1	332	84.17	0	0	0	0	0	0.15	0.16	1.21E-05	0.459639	1.22E-05	0.464717
ENSG00000223669.1	ENST00000430184.1	739	490.93	1	0.03	0.03	1	0	0.05	0.05	0.00147981	0.126552	0.00149543	0.127931
ENSG00000101160.9	"ENST00000217131.5,ENST00000472025.1,ENST00000488395.1,ENST00000503833.2"	1430.98	1182.9	7123	79.55	79.42	7123	0	78.54	79.35	76.6328	80.5757	77.4404	81.4301
ENSG00000228705.1	ENST00000412500.1	540	291.98	215	9.73	9.71	215	0	9.63	9.73	8.39863	10.9355	8.48598	11.0506
ENSG00000229873.1	ENST00000431361.1	668	419.95	6	0.19	0.19	6	0	0.22	0.22	0.0732705	0.380615	0.0738784	0.384504
ENSG00000022277.8	"ENST00000023939.4,ENST00000357348.5,ENST00000395881.3,ENST00000435342.2,ENST00000449062.1,ENST00000466260.1,ENST00000477485.1,ENST00000477573.1,ENST00000484084.1,ENST00000487211.1"	1515.07	1267	7279	75.89	75.77	7278.99	0.1	75.05	75.82	72.89	77.301	73.6566	78.1145
ENSG00000233838.4	"ENST00000486648.1,ENST00000502378.2"	651.5	408.36	0	0	0	0	0	1.22	1.23	0.000808418	3.65856	0.00106612	3.69848
ENSG00000236527.1	ENST00000430209.1	526	277.99	0	0	0	0	0	0.05	0.05	4.91E-06	0.142691	4.96E-06	0.144243
ENSG00000272259.1	"ENST00000606208.1,ENST00000607802.1"	2175.5	1927.42	0	0	0	0	0	0.02	0.02	0.000321078	0.060849	0.000323478	0.0615059
ENSG00000125514.5	"ENST00000370341.3,ENST00000414668.1,ENST00000456634.1"	1127	878.93	0	0	0	0	0	0.06	0.06	0.00432341	0.132495	0.00437044	0.133933
ENSG00000237119.1	ENST00000455711.1	1234	985.92	0	0	0	0	0	0.01	0.01	6.97E-08	0.0394742	7.04E-08	0.0399012
ENSG00000231133.2	"ENST00000447910.2,ENST00000608031.1"	834.5	586.42	0	0	0	0	0	0.04	0.05	0.000942342	0.107168	0.00102941	0.10841
ENSG00000225978.2	"ENST00000433161.1,ENST00000459583.1"	1007	816.96	0	0	0	0	0	0.01	0.01	4.42E-07	0.0236947	4.47E-07	0.023959
ENSG00000260416.1	ENST00000567259.1	1965	1716.92	0	0	0	0	0	0.01	0.01	1.34E-08	0.0225736	1.35E-08	0.0228134
ENSG00000231977.1	ENST00000423020.1	542	293.98	0	0	0	0	0	0.04	0.04	1.75E-06	0.131289	1.77E-06	0.132716
ENSG00000207598.1	ENST00000384866.1	87	0	0	0	0	0	0	0	0	0	0	0	0
